"yplac" "ydrug"
"1" 0 1
"2" 0 1
"3" 1 0
"4" 0 1
"5" 0 1
"6" 1 0
"7" 0 1
"8" 0 0
"9" 0 1
"10" 0 1
"11" 0 1
"12" 1 1
"13" 1 0
"14" 1 0
"15" 1 0
"16" 0 1
"17" 1 0
"18" 1 0
"19" 0 1
"20" 0 1
"21" 0 1
"22" 0 1
"23" 0 0
"24" 0 1
"25" 0 1
"26" 1 1
"27" 0 1
"28" 0 1
"29" 1 0
"30" 1 0
"31" 1 0
"32" 1 0
"33" 0 1
"34" 0 1
"35" 1 0
"36" 1 1
"37" 1 1
"38" 0 1
"39" 1 0
"40" 1 0
"41" 0 0
"42" 0 0
"43" 0 1
"44" 1 1
"45" 0 1
"46" 1 0
"47" 1 0
"48" 1 0
"49" 0 1
"50" 0 1
"51" 0 1
"52" 0 1
"53" 1 1
"54" 0 1
"55" 1 1
"56" 1 1
"57" 0 1
"58" 1 1
"59" 0 1
"60" 0 1
"61" 0 1
"62" 0 1
"63" 0 1
"64" 0 1
"65" 1 0
"66" 0 1
"67" 0 1
"68" 0 1
"69" 1 1
"70" 0 0
"71" 0 1
"72" 0 0
"73" 1 1
"74" 0 1
"75" 1 0
"76" 0 1
"77" 0 1
"78" 0 1
"79" 0 1
"80" 0 1
"81" 0 1
"82" 0 1
"83" 0 1
"84" 0 1
"85" 0 1
"86" 1 0
"87" 0 1
"88" 0 0
"89" 0 1
"90" 1 0
"91" 1 1
"92" 0 1
"93" 0 1
"94" 0 1
"95" 0 1
"96" 0 1
"97" 0 1
"98" 0 1
"99" 1 0
"100" 0 1
"101" 0 1
"102" 0 1
"103" 0 1
"104" 1 0
"105" 1 0
"106" 1 0
"107" 0 1
"108" 0 1
"109" 1 1
"110" 0 1
"111" 0 0
"112" 1 0
"113" 0 1
"114" 0 0
"115" 0 1
"116" 0 1
"117" 1 1
"118" 0 1
"119" 0 1
"120" 0 1
"121" 1 1
"122" 0 1
"123" 1 0
"124" 0 1
"125" 0 1
"126" 1 0
"127" 0 0
"128" 0 1
"129" 0 1
"130" 0 1
"131" 0 1
"132" 0 1
"133" 0 1
"134" 0 0
"135" 0 1
"136" 0 1
"137" 0 1
"138" 0 1
"139" 0 0
"140" 1 0
"141" 1 0
"142" 0 1
"143" 1 0
"144" 0 1
"145" 0 1
"146" 0 1
"147" 0 1
"148" 0 1
"149" 0 1
"150" 0 1
"151" 0 1
"152" 0 1
"153" 0 1
"154" 0 1
"155" 0 1
"156" 0 1
"157" 0 1
"158" 0 1
"159" 1 1
"160" 0 1
"161" 0 1
"162" 0 1
"163" 0 1
"164" 1 0
"165" 0 1
"166" 0 0
"167" 1 0
"168" 0 1
"169" 0 1
"170" 1 0
"171" 1 0
"172" 0 1
"173" 1 0
"174" 1 0
"175" 1 0
"176" 0 1
"177" 0 1
"178" 1 0
"179" 1 1
"180" 0 1
"181" 0 1
"182" 1 0
"183" 1 1
"184" 1 0
"185" 0 1
"186" 1 0
"187" 1 1
"188" 0 1
"189" 0 1
"190" 0 1
"191" 1 0
"192" 0 1
"193" 0 1
"194" 1 0
"195" 0 1
"196" 0 1
"197" 0 1
"198" 0 1
"199" 1 1
"200" 0 1
"201" 0 0
"202" 1 1
"203" 0 1
"204" 1 0
"205" 0 1
"206" 0 1
"207" 0 1
"208" 0 1
"209" 0 0
"210" 0 1
"211" 0 0
"212" 1 0
"213" 1 1
"214" 0 1
"215" 0 1
"216" 1 0
"217" 1 1
"218" 0 1
"219" 0 1
"220" 1 0
"221" 0 1
"222" 0 1
"223" 1 0
"224" 0 1
"225" 0 1
"226" 1 0
"227" 0 1
"228" 0 0
"229" 1 0
"230" 0 1
"231" 1 0
"232" 0 1
"233" 0 1
"234" 0 1
"235" 0 1
"236" 0 0
"237" 1 0
"238" 0 1
"239" 0 1
"240" 1 0
"241" 0 1
"242" 1 1
"243" 0 1
"244" 0 0
"245" 0 1
"246" 0 0
"247" 0 1
"248" 0 1
"249" 0 1
"250" 0 0
"251" 1 0
"252" 0 1
"253" 0 1
"254" 0 1
"255" 0 1
"256" 0 0
"257" 0 0
"258" 0 1
"259" 1 0
"260" 0 1
"261" 0 1
"262" 0 1
"263" 1 0
"264" 0 1
"265" 0 1
"266" 0 1
"267" 0 1
"268" 0 0
"269" 0 1
"270" 0 1
"271" 0 1
"272" 0 1
"273" 1 0
"274" 0 1
"275" 0 1
"276" 0 1
"277" 0 1
"278" 0 1
"279" 0 1
"280" 1 0
"281" 0 1
"282" 0 1
"283" 0 0
"284" 0 1
"285" 0 1
"286" 0 1
"287" 0 1
"288" 0 1
"289" 0 1
"290" 0 1
"291" 1 0
"292" 0 1
"293" 1 0
"294" 1 0
"295" 0 1
"296" 0 1
"297" 0 1
"298" 0 1
"299" 0 1
"300" 0 1
"301" 0 1
"302" 0 1
"303" 0 1
"304" 0 1
"305" 0 1
"306" 0 1
"307" 0 1
"308" 1 1
"309" 0 1
"310" 1 0
"311" 0 1
"312" 0 1
"313" 1 1
"314" 1 0
"315" 0 0
"316" 0 1
"317" 0 1
"318" 1 1
"319" 0 1
"320" 1 0
"321" 0 1
"322" 1 0
"323" 0 1
"324" 0 1
"325" 0 1
"326" 0 1
"327" 0 1
"328" 1 0
"329" 0 0
"330" 0 1
"331" 0 1
"332" 0 1
"333" 0 1
"334" 0 1
"335" 0 1
"336" 0 1
"337" 1 0
"338" 0 1
"339" 0 1
"340" 0 0
"341" 0 1
"342" 1 0
"343" 0 1
"344" 0 0
"345" 0 1
"346" 0 0
"347" 1 0
"348" 0 0
"349" 0 1
"350" 0 1
"351" 1 0
"352" 0 1
"353" 0 0
"354" 0 0
"355" 0 1
"356" 0 0
"357" 0 1
"358" 0 1
"359" 1 0
"360" 0 1
"361" 0 1
"362" 0 1
"363" 0 1
"364" 0 1
"365" 0 1
"366" 0 1
"367" 1 0
"368" 0 1
"369" 0 1
"370" 1 0
"371" 1 0
"372" 0 1
"373" 0 1
"374" 0 1
"375" 1 1
"376" 1 0
"377" 0 1
"378" 0 1
"379" 0 1
"380" 0 1
"381" 0 1
"382" 0 1
"383" 0 1
"384" 0 1
"385" 1 1
"386" 0 1
"387" 0 1
"388" 0 1
"389" 0 1
"390" 1 1
"391" 0 1
"392" 0 1
"393" 1 0
"394" 0 1
"395" 1 1
"396" 1 0
"397" 1 1
"398" 0 1
"399" 0 1
"400" 0 1
"401" 0 1
"402" 0 1
"403" 0 0
"404" 0 1
"405" 0 0
"406" 1 0
"407" 1 1
"408" 1 0
"409" 1 0
"410" 0 1
"411" 0 1
"412" 0 1
"413" 0 1
"414" 1 0
"415" 0 1
"416" 0 1
"417" 0 1
"418" 0 0
"419" 0 1
"420" 1 1
"421" 0 1
"422" 0 1
"423" 0 1
"424" 0 1
"425" 0 0
"426" 1 0
"427" 0 1
"428" 0 0
"429" 1 1
"430" 0 0
"431" 1 0
"432" 0 1
"433" 0 1
"434" 1 1
"435" 0 1
"436" 0 1
"437" 0 1
"438" 0 1
"439" 1 1
"440" 0 1
"441" 0 1
"442" 0 1
"443" 0 1
"444" 1 0
"445" 1 1
"446" 0 1
"447" 0 0
"448" 0 1
"449" 0 1
"450" 1 0
"451" 0 1
"452" 0 0
"453" 0 1
"454" 1 1
"455" 0 1
"456" 1 0
"457" 0 1
"458" 1 0
"459" 0 1
"460" 0 0
"461" 1 0
"462" 1 1
"463" 0 1
"464" 0 0
"465" 1 0
"466" 1 1
"467" 0 1
"468" 0 1
"469" 1 0
"470" 1 0
"471" 1 1
"472" 0 1
"473" 0 0
"474" 1 0
"475" 0 1
"476" 0 1
"477" 0 1
"478" 0 1
"479" 0 1
"480" 0 1
"481" 0 1
"482" 0 0
"483" 1 0
"484" 0 1
"485" 0 1
"486" 0 1
"487" 1 0
"488" 0 1
"489" 0 1
"490" 0 1
"491" 1 0
"492" 1 1
"493" 0 1
